Timestamp,attractiveness ,relationship_number
4/4/2024 11:12:56,attractive,2
4/4/2024 11:24:10,attractive,0
4/4/2024 11:28:56,attractive,1
4/4/2024 12:08:08,attractive,2
4/4/2024 12:17:23,attractive,0
4/4/2024 12:31:04,attractive,3
4/4/2024 12:41:56,attractive,0
4/4/2024 12:55:38,attractive,2
4/4/2024 13:16:36,attractive,1
4/4/2024 13:16:48,attractive,0
4/4/2024 13:17:14,attractive,0
4/4/2024 13:17:18,attractive,1
4/4/2024 14:01:20,attractive,0
4/4/2024 14:01:27,attractive,1
4/4/2024 14:01:33,attractive,3
4/4/2024 14:01:36,attractive,5
4/4/2024 14:01:38,attractive,1
4/4/2024 14:01:40,attractive,2
4/4/2024 14:01:52,attractive,3
4/4/2024 14:01:56,attractive,1
4/4/2024 14:02:22,attractive,3
4/4/2024 14:02:50,attractive,1
4/4/2024 14:21:32,attractive,1
4/4/2024 14:27:31,attractive,1
4/4/2024 15:02:31,attractive,1
4/4/2024 15:02:31,attractive,1
4/4/2024 15:02:32,attractive,0
4/4/2024 15:02:33,attractive,0
4/4/2024 15:02:33,attractive,0
4/4/2024 15:02:55,attractive,2
4/4/2024 15:26:35,attractive,2
4/4/2024 15:42:48,attractive,5
4/4/2024 15:48:39,attractive,1
4/4/2024 16:40:39,attractive,0
4/4/2024 16:40:44,attractive,1
4/4/2024 16:41:03,attractive,2
4/4/2024 16:41:09,attractive,2
4/4/2024 17:47:30,attractive,0
4/4/2024 17:48:30,attractive,1
4/4/2024 18:39:32,attractive,0
4/4/2024 19:57:47,attractive,1
4/4/2024 20:03:23,attractive,2
4/4/2024 21:01:32,attractive,2
4/4/2024 21:19:17,attractive,1
4/4/2024 21:19:32,attractive,1
4/4/2024 21:19:42,attractive,2
4/4/2024 21:28:12,attractive,1
4/5/2024 6:08:45,attractive,0
4/5/2024 6:22:10,attractive,1
4/5/2024 9:04:20,attractive,3
4/5/2024 12:06:58,attractive,0
4/5/2024 12:33:32,attractive,2
4/5/2024 13:13:21,attractive,0
4/5/2024 23:02:51,attractive,0
4/7/2024 14:13:08,attractive,1
4/7/2024 18:03:18,attractive,2
4/7/2024 18:07:40,attractive,1
4/7/2024 18:08:34,attractive,3
4/7/2024 18:09:56,attractive,2
4/7/2024 18:18:18,attractive,2
4/7/2024 18:24:54,attractive,1
4/7/2024 18:24:58,attractive,1
4/7/2024 18:26:22,attractive,3
4/7/2024 18:27:45,attractive,0
4/7/2024 18:32:14,attractive,2
4/7/2024 18:41:01,attractive,1
4/7/2024 18:58:03,attractive,1
4/7/2024 21:27:15,attractive,1
4/7/2024 21:27:30,attractive,1
4/7/2024 21:27:52,attractive,3
4/7/2024 21:28:33,attractive,2
4/7/2024 21:28:34,attractive,1
4/7/2024 21:28:49,attractive,1
4/7/2024 22:13:55,attractive,2
4/7/2024 22:14:41,unattractive,2
4/4/2024 13:16:50,unattractive,0
4/4/2024 15:02:26,unattractive,1
4/4/2024 15:03:18,unattractive,1
4/7/2024 18:08:42,unattractive,0
4/7/2024 21:28:15,unattractive,2
4/4/2024 12:37:33,unattractive,0
4/4/2024 12:57:00,unattractive,1
4/4/2024 13:16:44,unattractive,1
4/4/2024 13:16:50,unattractive,2
4/4/2024 13:16:53,unattractive,2
4/4/2024 13:17:54,unattractive,0
4/4/2024 13:34:22,unattractive,0
4/4/2024 14:01:39,unattractive,0
4/4/2024 14:03:20,unattractive,1
4/4/2024 15:02:43,unattractive,1
4/4/2024 15:02:51,unattractive,0
4/4/2024 15:02:59,unattractive,0
4/4/2024 16:40:57,unattractive,0
4/4/2024 20:58:26,unattractive,0
4/4/2024 21:19:26,unattractive,2
4/5/2024 2:11:22,unattractive,0
4/5/2024 10:16:40,unattractive,0
4/5/2024 17:57:20,unattractive,2
4/7/2024 18:07:34,unattractive,1
4/7/2024 18:25:26,unattractive,1
4/7/2024 22:11:09,unattractive,1
4/4/2024 11:12:42,attractive,1
4/4/2024 11:29:52,attractive,2
4/4/2024 12:17:02,attractive,0
4/4/2024 12:28:55,attractive,2
4/4/2024 12:35:10,attractive,0
4/4/2024 12:42:42,attractive,1
4/4/2024 13:13:49,attractive,1
4/4/2024 13:16:58,attractive,2
4/4/2024 13:17:08,attractive,0
4/4/2024 13:17:50,attractive,2
4/4/2024 14:02:32,attractive,1
4/4/2024 15:02:48,attractive,0
4/4/2024 15:03:11,attractive,0
4/4/2024 15:03:34,attractive,2
4/4/2024 15:03:46,attractive,2
4/4/2024 15:07:27,attractive,2
4/4/2024 15:38:39,attractive,1
4/4/2024 16:00:38,attractive,1
4/4/2024 16:35:54,attractive,1
4/4/2024 16:40:31,attractive,3
4/4/2024 16:40:50,attractive,0
4/4/2024 17:24:52,attractive,1
4/4/2024 17:41:59,attractive,1
4/4/2024 18:08:34,attractive,1
4/4/2024 18:11:29,attractive,0
4/4/2024 20:33:42,attractive,2
4/5/2024 10:51:12,attractive,2
4/5/2024 16:30:16,attractive,2
4/7/2024 18:03:07,attractive,3
