Timestamp,attractiveness,relationship_amount
4/4/2024 11:12:42,Somewhat attractive,1
4/4/2024 11:12:56,Average,2
4/4/2024 11:24:10,Average,0
4/4/2024 11:26:02,Very attractive,1
4/4/2024 11:28:50,Very attractive,1
4/4/2024 11:28:56,Average,1
4/4/2024 11:29:52,Somewhat attractive,2
4/4/2024 12:08:08,Average,2
4/4/2024 12:17:02,Somewhat attractive,0
4/4/2024 12:17:23,Average,0
4/4/2024 12:28:55,Somewhat attractive,2
4/4/2024 12:31:04,Average,3
4/4/2024 12:35:10,Somewhat attractive,0
4/4/2024 12:37:33,Not very attractive,0
4/4/2024 12:39:52,Very attractive,2
4/4/2024 12:41:56,Average,0
4/4/2024 12:42:42,Somewhat attractive,1
4/4/2024 12:55:38,Average,2
4/4/2024 12:57:00,Not very attractive,1
4/4/2024 13:13:49,Somewhat attractive,1
4/4/2024 13:16:36,Average,1
4/4/2024 13:16:39,Very attractive,0
4/4/2024 13:16:44,Not very attractive,1
4/4/2024 13:16:48,Average,0
4/4/2024 13:16:50,Not at all attractive,0
4/4/2024 13:16:50,Not very attractive,2
4/4/2024 13:16:53,Not very attractive,2
4/4/2024 13:16:58,Somewhat attractive,2
4/4/2024 13:17:08,Somewhat attractive,0
4/4/2024 13:17:10,Very attractive,1
4/4/2024 13:17:14,Average,0
4/4/2024 13:17:18,Average,1
4/4/2024 13:17:24,Very attractive,0
4/4/2024 13:17:50,Somewhat attractive,2
4/4/2024 13:17:54,Not very attractive,0
4/4/2024 13:34:22,Not very attractive,0
4/4/2024 14:01:20,Average,0
4/4/2024 14:01:27,Average,1
4/4/2024 14:01:33,Average,3
4/4/2024 14:01:36,Average,5+
4/4/2024 14:01:38,Average,1
4/4/2024 14:01:39,Not very attractive,0
4/4/2024 14:01:40,Average,2
4/4/2024 14:01:43,Very attractive,1
4/4/2024 14:01:48,Very attractive,2
4/4/2024 14:01:52,Average,3
4/4/2024 14:01:56,Average,1
4/4/2024 14:02:22,Average,3
4/4/2024 14:02:32,Somewhat attractive,1
4/4/2024 14:02:50,Average,1
4/4/2024 14:03:20,Not very attractive,1
4/4/2024 14:03:38,Very attractive,3
4/4/2024 14:11:35,Very attractive,0
4/4/2024 14:19:49,Very attractive,1
4/4/2024 14:21:32,Average,1
4/4/2024 14:27:31,Average,1
4/4/2024 15:02:26,Not at all attractive,1
4/4/2024 15:02:31,Average,1
4/4/2024 15:02:31,Average,1
4/4/2024 15:02:32,Average,0
4/4/2024 15:02:33,Average,0
4/4/2024 15:02:33,Average,0
4/4/2024 15:02:43,Not very attractive,1
4/4/2024 15:02:44,Very attractive,1
4/4/2024 15:02:48,Somewhat attractive,0
4/4/2024 15:02:51,Not very attractive,0
4/4/2024 15:02:55,Average,2
4/4/2024 15:02:59,Not very attractive,0
4/4/2024 15:03:11,Somewhat attractive,0
4/4/2024 15:03:18,Not at all attractive,1
4/4/2024 15:03:34,Somewhat attractive,2
4/4/2024 15:03:46,Somewhat attractive,2
4/4/2024 15:07:27,Somewhat attractive,2
4/4/2024 15:26:35,Average,2
4/4/2024 15:28:54,Very attractive,5+
4/4/2024 15:29:49,Very attractive,1
4/4/2024 15:38:39,Somewhat attractive,1
4/4/2024 15:42:35,Very attractive,3
4/4/2024 15:42:48,Average,5+
4/4/2024 15:48:39,Average,1
4/4/2024 16:00:38,Somewhat attractive,1
4/4/2024 16:35:54,Somewhat attractive,1
4/4/2024 16:40:31,Somewhat attractive,3
4/4/2024 16:40:39,Average,0
4/4/2024 16:40:44,Average,1
4/4/2024 16:40:50,Somewhat attractive,0
4/4/2024 16:40:57,Not very attractive,0
4/4/2024 16:41:03,Average,2
4/4/2024 16:41:09,Average,2
4/4/2024 17:24:52,Somewhat attractive,1
4/4/2024 17:28:27,Very attractive,4
4/4/2024 17:41:59,Somewhat attractive,1
4/4/2024 17:47:30,Average,0
4/4/2024 17:48:30,Average,1
4/4/2024 18:08:34,Somewhat attractive,1
4/4/2024 18:11:29,Somewhat attractive,0
4/4/2024 18:39:32,Average,0
4/4/2024 19:57:47,Average,1
4/4/2024 20:03:23,Average,2
4/4/2024 20:33:42,Somewhat attractive,2
4/4/2024 20:58:26,Not very attractive,0
4/4/2024 21:01:32,Average,2
4/4/2024 21:19:17,Average,1
4/4/2024 21:19:26,Not very attractive,2
4/4/2024 21:19:32,Average,1
4/4/2024 21:19:42,Average,2
4/4/2024 21:19:48,Very attractive,2
4/4/2024 21:19:55,Very attractive,1
4/4/2024 21:28:12,Average,1
4/5/2024 2:11:22,Not very attractive,0
4/5/2024 6:07:24,Very attractive,2
4/5/2024 6:08:45,Average,0
4/5/2024 6:22:10,Average,1
4/5/2024 6:30:10,Very attractive,2
4/5/2024 9:04:20,Average,3
4/5/2024 9:26:33,Very attractive,2
4/5/2024 10:16:40,Not very attractive,0
4/5/2024 10:51:12,Somewhat attractive,2
4/5/2024 11:41:22,Very attractive,2
4/5/2024 12:06:58,Average,0
4/5/2024 12:33:32,Average,2
4/5/2024 13:13:21,Average,0
4/5/2024 14:18:25,Very attractive,0
4/5/2024 16:30:16,Somewhat attractive,2
4/5/2024 17:57:20,Not very attractive,2
4/5/2024 20:56:26,Very attractive,5+
4/5/2024 23:02:51,Average,0
4/7/2024 14:13:08,Average,1
4/7/2024 18:03:07,Somewhat attractive,3
4/7/2024 18:03:18,Average,2
4/7/2024 18:07:26,Somewhat attractive,4
4/7/2024 18:07:34,Not very attractive,1
4/7/2024 18:07:40,Average,1
4/7/2024 18:08:12,Somewhat attractive,0
4/7/2024 18:08:21,Somewhat attractive,3
4/7/2024 18:08:34,Average,3
4/7/2024 18:08:42,Not at all attractive,0
4/7/2024 18:09:56,Average,2
4/7/2024 18:10:04,Somewhat attractive,3
4/7/2024 18:10:13,Very attractive,4
4/7/2024 18:18:18,Average,2
4/7/2024 18:24:54,Average,1
4/7/2024 18:24:58,Average,1
4/7/2024 18:25:26,Not very attractive,1
4/7/2024 18:26:22,Average,3
4/7/2024 18:27:45,Average,0
4/7/2024 18:31:19,Somewhat attractive,3
4/7/2024 18:32:14,Average,2
4/7/2024 18:35:16,Somewhat attractive,2
4/7/2024 18:41:01,Average,1
4/7/2024 18:58:03,Average,1
4/7/2024 21:22:42,Somewhat attractive,2
4/7/2024 21:23:09,Somewhat attractive,0
4/7/2024 21:27:09,Very attractive,1
4/7/2024 21:27:15,Average,1
4/7/2024 21:27:30,Average,1
4/7/2024 21:27:52,Average,3
4/7/2024 21:27:58,Somewhat attractive,0
4/7/2024 21:28:15,Not at all attractive,2
4/7/2024 21:28:21,Very attractive,2
4/7/2024 21:28:27,Somewhat attractive,4
4/7/2024 21:28:33,Average,2
4/7/2024 21:28:34,Average,1
4/7/2024 21:28:42,Somewhat attractive,0
4/7/2024 21:28:49,Average,1
4/7/2024 22:08:51,Somewhat attractive,2
4/7/2024 22:09:13,Somewhat attractive,1
4/7/2024 22:09:31,Somewhat attractive,2
4/7/2024 22:09:49,Very attractive,0
4/7/2024 22:10:07,Very attractive,1
4/7/2024 22:10:08,Very attractive,3
